               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.080806,            0.011443,            0.010265,               0.242,             0.16785,             0.13662,            0.053605,            0.077114,            0.012017,            0.010164,            0.006436,            0.006436,            0.006436
                  20,            0.079342,            0.011516,            0.009671,             0.25428,             0.18652,             0.15817,            0.055844,            0.076894,            0.011724,           0.0090995,            0.006238,            0.006238,            0.006238
                  21,            0.079361,            0.011358,           0.0095498,             0.22796,             0.19274,             0.13861,            0.048719,            0.077713,            0.011989,           0.0096993,             0.00604,             0.00604,             0.00604
                  22,            0.078804,            0.011471,           0.0090411,             0.29014,              0.1769,             0.15006,            0.056515,            0.077816,            0.011741,            0.010542,            0.005842,            0.005842,            0.005842
                  23,            0.078666,            0.011289,           0.0087762,             0.27968,             0.19485,             0.15731,            0.060281,            0.078218,            0.011986,           0.0098983,            0.005644,            0.005644,            0.005644
                  24,            0.078483,            0.011246,           0.0086504,             0.28194,             0.19504,             0.15878,            0.056213,             0.07614,            0.011819,            0.009242,            0.005446,            0.005446,            0.005446
                  25,            0.077985,            0.011752,           0.0087139,              0.3307,             0.19734,             0.17099,             0.06062,            0.076441,            0.011757,           0.0090305,            0.005248,            0.005248,            0.005248
                  26,             0.07747,            0.012054,           0.0083225,             0.28502,             0.18744,             0.16579,            0.066745,            0.075708,             0.01177,            0.010333,             0.00505,             0.00505,             0.00505
                  27,            0.076912,            0.011231,           0.0082921,             0.22282,             0.20039,             0.15176,            0.055904,            0.076374,            0.012229,            0.010074,            0.004852,            0.004852,            0.004852
                  28,            0.076644,            0.011493,           0.0079538,             0.27379,             0.21417,              0.1686,            0.060518,            0.075715,            0.011862,           0.0098032,            0.004654,            0.004654,            0.004654
                  29,            0.076917,            0.011672,            0.007687,             0.27421,             0.18202,             0.16193,            0.058702,             0.07592,            0.011722,             0.01064,            0.004456,            0.004456,            0.004456
                  30,            0.075887,            0.011482,            0.007682,             0.27565,             0.20371,             0.17153,            0.063641,            0.075605,              0.0117,            0.009898,            0.004258,            0.004258,            0.004258
                  31,            0.075571,             0.01131,           0.0070946,             0.26786,             0.21882,             0.16956,            0.065571,            0.075088,            0.011779,           0.0098984,             0.00406,             0.00406,             0.00406
                  32,            0.075766,            0.011336,           0.0070856,             0.34088,              0.1926,             0.18063,            0.066894,            0.075378,            0.011618,           0.0093444,            0.003862,            0.003862,            0.003862
                  33,            0.074905,             0.01095,           0.0068921,             0.35757,             0.20538,               0.187,            0.066296,            0.075453,            0.011746,            0.010142,            0.003664,            0.003664,            0.003664
                  34,            0.074337,            0.011222,           0.0063525,             0.29449,              0.1907,             0.17645,            0.063367,            0.076069,            0.011759,            0.011721,            0.003466,            0.003466,            0.003466
                  35,             0.07349,            0.011008,           0.0061905,             0.29959,              0.2091,             0.17534,            0.067325,            0.074811,            0.011725,            0.010894,            0.003268,            0.003268,            0.003268
                  36,            0.073139,            0.011025,           0.0061026,             0.32829,              0.2016,              0.1785,            0.065333,            0.074742,            0.011748,            0.010189,             0.00307,             0.00307,             0.00307
                  37,            0.073027,             0.01117,           0.0061482,             0.29344,               0.234,             0.19305,            0.076118,            0.074659,            0.011662,           0.0098317,            0.002872,            0.002872,            0.002872
                  38,            0.072467,            0.010967,            0.005802,             0.36724,             0.21497,             0.19189,            0.072498,            0.074348,            0.011682,            0.010048,            0.002674,            0.002674,            0.002674
                  39,             0.07236,            0.010993,           0.0060944,             0.32148,              0.2192,             0.19548,             0.07432,            0.074266,            0.011835,             0.01013,            0.002476,            0.002476,            0.002476
                  40,            0.071182,            0.010944,           0.0054653,             0.28832,              0.2072,             0.18384,            0.073082,            0.074602,            0.011749,            0.010529,            0.002278,            0.002278,            0.002278
                  41,            0.071144,            0.010718,            0.005498,             0.29982,             0.23596,             0.18175,            0.070823,            0.074907,            0.011831,           0.0095259,             0.00208,             0.00208,             0.00208
                  42,            0.070349,            0.010914,           0.0052692,             0.31572,             0.21487,             0.18147,            0.072766,            0.074327,            0.011717,           0.0096262,            0.001882,            0.001882,            0.001882
                  43,            0.069928,            0.010819,            0.004949,             0.29784,             0.20849,             0.18894,            0.073702,            0.074574,            0.011842,            0.010017,            0.001684,            0.001684,            0.001684
                  44,            0.070045,            0.010951,            0.005034,             0.31635,             0.22463,             0.19581,            0.076505,            0.074464,            0.011812,           0.0097873,            0.001486,            0.001486,            0.001486
                  45,            0.068604,            0.010634,           0.0044216,             0.31618,             0.22944,             0.19772,            0.072475,            0.074105,            0.011744,           0.0097198,            0.001288,            0.001288,            0.001288
                  46,            0.068618,            0.010498,           0.0046032,             0.30893,             0.23108,             0.20014,            0.073189,            0.074158,            0.011787,            0.010335,             0.00109,             0.00109,             0.00109
                  47,            0.067911,             0.01111,            0.004486,             0.28319,             0.22394,             0.18974,            0.071334,              0.0738,            0.011769,            0.010607,            0.000892,            0.000892,            0.000892
                  48,            0.068147,            0.010079,           0.0043893,             0.33536,             0.22753,             0.20418,            0.076268,            0.073854,            0.011865,            0.010706,            0.000694,            0.000694,            0.000694
